證券名稱	簡稱	年月	市場風險溢酬	規模溢酬	淨值市價比溢酬	動能因子	無風險利率
Y9999  	上市         	199512	   8.0158	  -1.9447	   2.7760	  -2.0595	 6.650
Y9999  	上市         	199601	  -8.4673	  -0.7693	  -1.1358	   2.3683	 6.650
Y9999  	上市         	199602	   0.5324	  -1.8082	  -0.3697	   2.2370	 6.650
Y9999  	上市         	199603	   4.7123	   1.6174	   1.8071	  -3.1071	 6.650
Y9999  	上市         	199604	  21.8223	  -6.0372	  -9.3549	   1.7028	 6.650
Y9999  	上市         	199605	  -3.3349	  -1.8355	   0.0888	   1.2556	 6.550
Y9999  	上市         	199606	  10.2992	 -10.9367	  -0.4322	   0.4313	 6.550
Y9999  	上市         	199607	  -7.5743	   7.9989	   1.7737	  -1.8492	 6.550
Y9999  	上市         	199608	   3.0314	  -0.9137	  -1.7010	   2.4374	 6.350
Y9999  	上市         	199609	   2.1499	   2.4195	  -3.5255	  -0.9762	 6.350
Y9999  	上市         	199610	  -2.0130	   5.4656	  -1.4846	  -2.5453	 5.950
Y9999  	上市         	199611	   5.6295	  -4.6136	  -1.9579	  -1.5319	 5.950
Y9999  	上市         	199612	   1.1020	   4.9733	  -0.8095	   1.2423	 5.950
Y9999  	上市         	199701	   4.6592	   4.6543	   0.5254	   0.6715	 5.950
Y9999  	上市         	199702	   7.1751	   5.5998	   2.6275	  -0.2257	 5.950
Y9999  	上市         	199703	   0.4924	   6.5219	   2.8146	  -5.1395	 5.950
Y9999  	上市         	199704	   5.3633	  -3.5480	   1.3286	   5.3248	 5.950
Y9999  	上市         	199705	  -4.4815	  -5.5217	  -5.4550	   2.8971	 5.950
Y9999  	上市         	199706	  10.8002	  -1.4853	 -12.4432	  16.5881	 5.900
Y9999  	上市         	199707	  10.9666	  -8.5730	  -4.2212	  14.6348	 5.900
Y9999  	上市         	199708	  -3.6258	   2.6040	  -1.1600	   5.3697	 6.000
Y9999  	上市         	199709	 -11.3228	   8.5689	   1.9792	 -10.6121	 6.000
Y9999  	上市         	199710	 -16.4643	   4.9508	  -2.1025	 -11.5180	 6.000
Y9999  	上市         	199711	   6.1679	  -0.7447	  -1.6788	   7.8815	 6.000
Y9999  	上市         	199712	   4.2571	   6.5820	   2.0913	  -5.6942	 6.000
Y9999  	上市         	199801	  -1.5914	  -1.3949	  -3.4513	   8.4975	 6.000
Y9999  	上市         	199802	  13.2920	  -2.7213	   2.9412	  10.4669	 6.500
Y9999  	上市         	199803	  -1.8355	   7.6529	   3.9258	  -2.9310	 6.500
Y9999  	上市         	199804	  -9.3043	   2.3298	   0.5317	  -1.7266	 6.550
Y9999  	上市         	199805	  -5.4358	   3.2416	   0.8849	   1.9594	 6.550
Y9999  	上市         	199806	  -4.9441	   4.2806	   4.2494	   0.2801	 6.550
Y9999  	上市         	199807	   0.9334	   0.8508	  -6.5373	   4.8445	 6.550
Y9999  	上市         	199808	 -15.1575	  -1.4534	   3.8263	   6.1078	 6.550
Y9999  	上市         	199809	   3.8476	   2.1095	   4.3722	  -8.5583	 6.550
Y9999  	上市         	199810	   4.6096	  -4.3204	  -0.2778	  -4.9389	 6.100
Y9999  	上市         	199811	   1.2622	  -8.6909	  -5.5327	  -4.0827	 5.900
Y9999  	上市         	199812	 -10.9290	  -2.5725	  -1.3571	   7.6541	 5.400
Y9999  	上市         	199901	  -6.9149	  -2.0239	  -2.1888	  -8.8878	 5.400
Y9999  	上市         	199902	   4.7145	  -5.4808	  -0.4235	  -6.1353	 5.050
Y9999  	上市         	199903	   8.2766	   0.6151	   4.0417	   1.4906	 5.050
Y9999  	上市         	199904	   6.5397	  -0.6219	   4.7215	  -0.1681	 5.000
Y9999  	上市         	199905	  -1.8586	  -2.9572	 -13.8730	  13.6957	 5.000
Y9999  	上市         	199906	  14.4831	 -14.6294	 -14.1138	   8.8457	 5.000
Y9999  	上市         	199907	 -14.2931	   3.2439	  -4.3696	   6.2585	 5.000
Y9999  	上市         	199908	  11.5904	  -4.3184	  -1.5518	   2.2723	 5.000
Y9999  	上市         	199909	  -7.0592	   0.6414	   0.8558	  -1.3741	 5.000
Y9999  	上市         	199910	   3.0794	  -8.1719	  -5.1860	  11.3335	 5.000
Y9999  	上市         	199911	  -2.1494	  -6.2022	  -1.6642	   4.3227	 5.000
Y9999  	上市         	199912	   9.0305	  -8.6273	  -8.5232	   5.6369	 5.000
Y9999  	上市         	200001	  15.2598	   9.1436	  13.5349	 -23.6256	 5.000
